{'id': 0, 'answer': '0.90'}
{'id': 1, 'answer': '1.00'}
{'id': 2, 'answer': '0.95'}
{'id': 3, 'answer': '0.90'}
{'id': 4, 'answer': '0.85'}
{'id': 5, 'answer': '0.85'}
{'id': 6, 'answer': '0.70'}
{'id': 7, 'answer': '0.90'}
{'id': 8, 'answer': '0.85'}
{'id': 9, 'answer': '0.90'}
{'id': 10, 'answer': '0.90'}
{'id': 11, 'answer': '0.80'}
{'id': 12, 'answer': '0.85'}
{'id': 13, 'answer': '0.90'}
{'id': 14, 'answer': '0.70'}
{'id': 15, 'answer': '0.50'}
{'id': 16, 'answer': '0.50'}
{'id': 17, 'answer': '0.80'}
{'id': 18, 'answer': '0.70'}
{'id': 19, 'answer': '0.30'}
{'id': 20, 'answer': '0.80'}
{'id': 21, 'answer': '0.30'}
{'id': 22, 'answer': '0.30'}
{'id': 23, 'answer': '0.30'}
{'id': 24, 'answer': '0.20'}
{'id': 25, 'answer': '0.10'}
{'id': 26, 'answer': '0.05'}
{'id': 27, 'answer': '0.20'}
{'id': 28, 'answer': '0.10'}
{'id': 29, 'answer': '0.20'}
{'id': 30, 'answer': '0.00'}
{'id': 31, 'answer': '0.10'}
{'id': 32, 'answer': '0.90'}
{'id': 33, 'answer': '0.90'}
{'id': 34, 'answer': '0.95'}
{'id': 35, 'answer': '0.90'}
{'id': 36, 'answer': '0.70'}
{'id': 37, 'answer': '0.70'}
{'id': 38, 'answer': '0.70'}
{'id': 39, 'answer': '0.70'}
{'id': 40, 'answer': '0.70'}
{'id': 41, 'answer': '0.70'}
{'id': 42, 'answer': '0.70'}
{'id': 43, 'answer': '0.50'}
{'id': 44, 'answer': '0.70'}
{'id': 45, 'answer': '0.70'}
{'id': 46, 'answer': '0.60'}
{'id': 47, 'answer': '0.50'}
{'id': 48, 'answer': '0.50'}
{'id': 49, 'answer': '0.50'}
{'id': 50, 'answer': '0.50'}
{'id': 51, 'answer': '0.30'}
{'id': 52, 'answer': '0.70'}
{'id': 53, 'answer': '0.50'}
{'id': 54, 'answer': '0.30'}
{'id': 55, 'answer': '0.20'}
{'id': 56, 'answer': '0.20'}
{'id': 57, 'answer': '0.01'}
{'id': 58, 'answer': '0.01'}
{'id': 59, 'answer': '0.20'}
{'id': 60, 'answer': '0.01'}
{'id': 61, 'answer': '0.20'}
{'id': 62, 'answer': '0.00'}
{'id': 63, 'answer': '0.00'}
{'id': 64, 'answer': '0.90'}
{'id': 65, 'answer': '0.90'}
{'id': 66, 'answer': '0.95'}
{'id': 67, 'answer': '0.90'}
{'id': 68, 'answer': '0.85'}
{'id': 69, 'answer': '0.85'}
{'id': 70, 'answer': '0.90'}
{'id': 71, 'answer': '0.90'}
{'id': 72, 'answer': '0.90'}
{'id': 73, 'answer': '0.90'}
{'id': 74, 'answer': '0.90'}
{'id': 75, 'answer': '0.90'}
{'id': 76, 'answer': '0.90'}
{'id': 77, 'answer': '0.90'}
{'id': 78, 'answer': '0.85'}
{'id': 79, 'answer': '0.50'}
{'id': 80, 'answer': '0.85'}
{'id': 81, 'answer': '0.80'}
{'id': 82, 'answer': '0.80'}
{'id': 83, 'answer': '0.30'}
{'id': 84, 'answer': '0.85'}
{'id': 85, 'answer': '0.30'}
{'id': 86, 'answer': '0.30'}
{'id': 87, 'answer': '0.20'}
{'id': 88, 'answer': '0.20'}
{'id': 89, 'answer': '0.05'}
{'id': 90, 'answer': '0.10'}
{'id': 91, 'answer': '0.20'}
{'id': 92, 'answer': '0.30'}
{'id': 93, 'answer': '0.10'}
{'id': 94, 'answer': '0.00'}
